День,№ Кампании,Название кампании,Статус кампании,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,№ Группы,Название группы,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽"
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267806,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4756895/965d0I_OPtNjFD-3WB8N5g,b (4).jpg,-,-,Текстово-графический,Оригинальный,5729340975,cybered_int,12.41,76,6,1,16.67,12.41
29.03.2026,707977649,vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,Активные,17646267808,Активные,Текстово-графическое,Подберем тебе профессию в кибербезе,"Профессия под твой бекграунд, интересы и ожидания",https://lab.cyber-ed.ru/start-v-ib/?utm_source=yd&utm_medium=kiberbez_{source_type}&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE}_{source},http://direct.yandex.ru/images/direct/4566389/rTjitfZEzP7zmocYnwOEqA,b (2),-,-,Текстово-графический,Оригинальный,5729340975,cybered_int,28.47,327,14,1,7.14,28.47
29.03.2026,707811673,vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,Активные,17636958761,Активные,Текстово-графическое,Начните учиться пентесту с нуля! Базовые знания в IT/ИБ,97 Онлайн-уроков. 11 Часов видео. 267 обучающих тестов. 12 лабораторных занятий,https://cyber-ed.ru/professiya-pentester/?utm_source=yd&utm_medium={source_type}&utm_campaign={campaign_id}&utm_content={ad_id},http://direct.yandex.ru/images/direct/4321594/8sPTuvh82FX9LrIkZskzzw,rm201125_b3.jpg,-,-,Текстово-графический,Оригинальный,5726256946,"+Автотаргет - Сегмент 8. Общее ядро спроса по пентесту (широкие запросы, смешанный интент)",0.00,2,0,0,-,-
29.03.2026,707811673,vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,Активные,17636958762,Активные,Текстово-графическое,Получите базу пентеста для уверенного старта бесплатно!,97 Онлайн-уроков. 11 Часов видео. 267 обучающих тестов. 12 лабораторных занятий,https://cyber-ed.ru/professiya-pentester/?utm_source=yd&utm_medium={source_type}&utm_campaign={campaign_id}&utm_content={ad_id},http://direct.yandex.ru/images/direct/4866625/I-lnKAlCYHPLeyIWbX9QUw,rm201125_b2.jpg,-,-,Текстово-графический,Автоматический,5726256946,"+Автотаргет - Сегмент 8. Общее ядро спроса по пентесту (широкие запросы, смешанный интент)",0.00,4,0,0,-,-
29.03.2026,707811673,vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,Активные,17636958766,Активные,Текстово-графическое,Начните учиться на пентестера бесплатно! В CyberEd!,97 Онлайн-уроков. 11 Часов видео. 267 обучающих тестов. 12 лабораторных занятий,https://cyber-ed.ru/professiya-pentester/?utm_source=yd&utm_medium={source_type}&utm_campaign={campaign_id}&utm_content={ad_id},http://direct.yandex.ru/images/direct/5225972/2SMlzSNRdmbBcqLZ-8rQww,rm201125_b1.jpg,-,-,Текстово-графический,Оригинальный,5726256947,"+Автотаргет - Сегмент 7. Бренды и конкуренты (Яндекс, OTUS, Codeby и т.д.)",73.14,1026,2,0,0.00,-
29.03.2026,707811673,vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,Активные,17636958762,Активные,Текстово-графическое,Получите базу пентеста для уверенного старта бесплатно!,97 Онлайн-уроков. 11 Часов видео. 267 обучающих тестов. 12 лабораторных занятий,https://cyber-ed.ru/professiya-pentester/?utm_source=yd&utm_medium={source_type}&utm_campaign={campaign_id}&utm_content={ad_id},http://direct.yandex.ru/images/direct/4866625/I-lnKAlCYHPLeyIWbX9QUw,rm201125_b2.jpg,-,-,Текстово-графический,Оригинальный,5726256946,"+Автотаргет - Сегмент 8. Общее ядро спроса по пентесту (широкие запросы, смешанный интент)",129.85,117,2,1,50.00,129.85
29.03.2026,707811673,vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,Активные,17636958768,Активные,Текстово-графическое,Получите базу пентеста для уверенного старта бесплатно!,97 Онлайн-уроков. 11 Часов видео. 267 обучающих тестов. 12 лабораторных занятий,https://cyber-ed.ru/professiya-pentester/?utm_source=yd&utm_medium={source_type}&utm_campaign={campaign_id}&utm_content={ad_id},http://direct.yandex.ru/images/direct/4866625/I-lnKAlCYHPLeyIWbX9QUw,rm201125_b2.jpg,-,-,Текстово-графический,Оригинальный,5726256948,"+Автотаргет - Сегмент 6. Теория, методики, этапы, отчёты",0.00,4,0,0,-,-
29.03.2026,707811673,vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,Активные,17636958763,Активные,Текстово-графическое,Начните учиться на пентестера бесплатно! В CyberEd!,97 Онлайн-уроков. 11 Часов видео. 267 обучающих тестов. 12 лабораторных занятий,https://cyber-ed.ru/professiya-pentester/?utm_source=yd&utm_medium={source_type}&utm_campaign={campaign_id}&utm_content={ad_id},http://direct.yandex.ru/images/direct/5225972/2SMlzSNRdmbBcqLZ-8rQww,rm201125_b1.jpg,-,-,Текстово-графический,Оригинальный,5726256946,"+Автотаргет - Сегмент 8. Общее ядро спроса по пентесту (широкие запросы, смешанный интент)",0.00,178,0,0,-,-
29.03.2026,707811673,vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,Активные,17636958764,Активные,Текстово-графическое,Начните учиться пентесту с нуля! Базовые знания в IT/ИБ,97 Онлайн-уроков. 11 Часов видео. 267 обучающих тестов. 12 лабораторных занятий,https://cyber-ed.ru/professiya-pentester/?utm_source=yd&utm_medium={source_type}&utm_campaign={campaign_id}&utm_content={ad_id},http://direct.yandex.ru/images/direct/4321594/8sPTuvh82FX9LrIkZskzzw,rm201125_b3.jpg,-,-,Текстово-графический,Оригинальный,5726256947,"+Автотаргет - Сегмент 7. Бренды и конкуренты (Яндекс, OTUS, Codeby и т.д.)",0.00,2,0,0,-,-
29.03.2026,707811673,vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,Активные,17636958769,Активные,Текстово-графическое,Начните учиться на пентестера бесплатно! В CyberEd!,97 Онлайн-уроков. 11 Часов видео. 267 обучающих тестов. 12 лабораторных занятий,https://cyber-ed.ru/professiya-pentester/?utm_source=yd&utm_medium={source_type}&utm_campaign={campaign_id}&utm_content={ad_id},http://direct.yandex.ru/images/direct/5225972/2SMlzSNRdmbBcqLZ-8rQww,rm201125_b1.jpg,-,-,Текстово-графический,Оригинальный,5726256948,"+Автотаргет - Сегмент 6. Теория, методики, этапы, отчёты",11.10,11,1,0,0.00,-
